source_id,teff_gspphot,logg_gspphot,mg_gspphot,mh_gspphot,radius_gspphot,distance_gspphot,lum_flame,mass_flame,age_flame,evolstage_flame,ag_gspphot
270260649602149760,,,,,,,,,,,
340028235795364864,5798.838,3.9315,3.249,-0.0387,1.8889,59.8492,3.6312852,1.1573857,6.253433,446,1e-04
365426679516816512,4931.847,4.5669,5.929,0.4531,0.8013,202.1703,0.3418402,0.7768614,,340,0.0981
407530931116600320,,,,,,,,,,,
2133140076439141376,5649.436,4.4505,4.9123,-0.2798,0.9349,945.9158,0.81583065,0.97471756,4.0925765,228,0.1293
2133173542823321344,5249.3774,4.4873,5.3768,-0.0336,0.8863,636.7814,0.5404061,0.8367456,12.543133,323,0.0533
2133404474624835840,5677.9136,4.0831,3.9657,-0.1731,1.4263,772.5377,1.967613,0.99303293,10.864695,432,0.0005
2133611659548455808,3474.2048,4.709,9.2221,-0.0513,0.4988,380.6847,0.04279476,,,,0.4278
2135044568018500096,6148.697,4.1876,3.5254,-0.1183,1.4762,850.1435,2.827281,1.2052188,4.0390277,308,0.0226
2135179533070398720,,,,,,,,,,,
2135292507890372224,5152.9697,4.5427,5.7521,-0.0635,0.7802,583.0385,0.41441664,0.84500587,6.3111134,225,0.1177
2233231540491361408,5472.5195,4.5211,5.2976,-0.105,0.8352,65.9491,0.5624191,0.95029634,,102,0.082
2264839952875245696,,,,,,,,,,,
2265154211335825152,,,,,,,,,,,
2300641567596591488,4998.011,4.5291,5.8805,-0.2142,0.7955,28.2302,0.3559556,0.78854954,12.514311,294,1e-04
2345033662373296768,5967.5156,4.2376,4.1629,-0.3497,1.1787,112.4928,1.6022073,1.0587469,5.6233187,321,0.0003
2657374606238804992,5033.46,4.5209,5.8009,-0.2061,0.809,154.6642,0.36612093,0.8048293,10.101143,267,0.0064
2775311010868306048,5486.2783,4.45,5.047,-0.2279,0.9347,169.2374,0.7190156,0.89456815,9.703218,305,0.0114
2790691147020786816,6304.67,4.1452,3.3479,-0.0773,1.5221,280.4325,3.303744,1.257662,3.1970446,278,0.0587
2911987212510959232,,,,,,,,,,,
3068540350999693952,7184.2456,4.0638,2.8092,-1.1875,1.5557,65.7239,5.7701983,1.4953078,0.8818413,169,0.0004
3078836109158636928,5283.737,4.5579,5.4843,0.1674,0.8286,99.852,0.4843649,0.88058895,4.9363728,208,0.0928
3326541506073371776,5765.2734,4.5028,4.8483,-0.0108,0.9182,533.8376,0.88346356,0.9820413,4.46075,247,0.0919
3340265717587057536,4139.6934,4.5953,7.3802,0.1545,0.6797,136.5343,0.120898515,0.6559791,13.226491,325,0.5231
3393939030531019520,6881.275,4.1247,2.7964,-0.2766,1.6642,368.756,5.850882,1.4633433,1.5584989,219,0.64
