Source,RA_ICRS,DE_ICRS,PQSO,PGal,Pstar,PWD,Pbin,Teff,logg,[Fe/H],Dist,A0,AG,ABP,ARP,E(BP-RP),GMAG,Rad,Rad-Flame,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,Teff-HS,logg1-MSC,logg-HS,logg-S,logg2-MSC
4295806720,44.99615537865,0.00561522634,0.0,0.0,0.9999876,0.0,1.239E-5,5052.976,4.7793,-1.4592,1497.0547,0.0064,0.0052,0.0067,0.0038,0.0028,6.7617,0.5199,0.5188,0.15797018,,,0.7316313,,4.5381,,,4.5286
34361129088,45.00432028915,0.02104776378,0.0,0.0,0.9993886,0.0,6.1143E-4,3478.5408,4.7,-0.6143,302.2347,0.7643,0.505,0.7321,0.4225,0.3096,9.6082,0.3944,0.3923,0.02040507,,,0.45913422,,4.6358,,,4.7863
38655544960,45.00497837175,0.0198796757,0.0,0.0,0.9998059,0.0,1.9408E-4,4708.7944,4.5588,-0.087,332.8322,0.2345,0.182,0.2346,0.1386,0.0961,6.3344,0.7526,0.7114,0.22644725,0.77,3.273,0.6354631,,4.7001,,,4.9004
309238066432,44.99503714416,0.03815169755,0.0,0.0,0.99997973,0.0,2.026E-5,,,,,,,,,,,,,,,,,,,,,
343597448960,44.9638962655,0.04359494368,0.0,0.0,0.99999064,0.0,9.33E-6,4536.664,4.6276,-0.5605,1741.9127,0.0085,0.0065,0.0085,0.005,0.0035,6.9673,0.6227,0.5979,0.1355566,,,0.64109,,4.5318,,,4.6851
515396233856,44.99832707811,0.0663327072,7.0E-8,5.6E-7,0.99999225,3.0E-8,7.12E-6,,,,,,,,,,,,,,,,,,,,,
549755818112,45.0482823213,0.04825396034,0.0,0.0,0.999712,0.0,2.8801E-4,4837.496,4.4109,-0.6022,621.2011,0.3668,0.2886,0.3718,0.2168,0.155,5.7289,0.9303,0.9224,0.42134967,,,0.5591014,,4.7691,,,4.7381
828929527040,45.02361979732,0.06841876725,0.0,0.0,0.9998501,0.0,1.499E-4,4333.865,4.6641,-0.3251,690.5604,0.0405,0.0304,0.0399,0.0237,0.0162,7.3503,0.5966,0.7125,0.1580817,0.688,3.737,0.6446563,,4.713,,,4.8251
927713095040,45.02672698087,0.08169947827,0.0,0.0,0.9999961,0.0,3.84E-6,,,,,,,,,,,,,,,,,,,,,
966367933184,45.0390804774,0.08685485276,0.0,0.0,0.9999869,0.0,1.311E-5,,,,,,,,,,,,,,,,,,,,,
1099511693312,44.96654617792,0.04630865837,0.0,0.0,0.999997,0.0,3.03E-6,,,,,,,,,,,,,,,,,,,,,
1275606125952,44.99327078417,0.076334045,0.0,0.0,0.99997115,0.0,2.881E-5,5040.7686,4.4445,-0.6965,1343.5872,0.004,0.0032,0.0041,0.0024,0.0017,5.6132,0.8844,1.0188,0.6060728,,,0.57993746,,4.7383,,,4.6922
1340029955712,44.9690766298,0.08442520281,0.0,0.0,0.99998796,0.0,1.203E-5,4550.9297,4.8175,-1.2501,1098.5043,0.0348,0.027,0.0349,0.0205,0.0145,7.5801,0.4645,0.4591,0.08058926,,,0.72600526,,4.7637,,,4.5572
1340029956224,44.97846156971,0.09257928817,0.0,0.0,0.9999797,0.0,2.03E-5,4319.841,4.8899,-1.3928,1239.7461,0.0057,0.0043,0.0056,0.0033,0.0023,8.1911,0.4001,,,,,,,,,,
1374389600384,44.93280210615,0.06480894307,0.0,0.0,0.9999547,0.0,4.532E-5,3404.9011,4.4294,-1.1774,426.0444,0.4993,0.3329,0.476,0.2774,0.1986,9.8744,0.3604,,,,,,,,,,
1511828647680,44.95265152875,0.08495205087,4.0E-8,7.0E-8,0.9999641,1.6E-7,3.561E-5,,,,,,,,,,,,,,,,,,,,,
1619203481984,44.95115803041,0.10531247613,0.0,0.0,0.999561,0.0,4.3897E-4,3595.7598,4.3742,-0.4565,696.264,0.9776,0.652,0.9369,0.5429,0.394,7.9835,0.7648,0.6221,0.05848712,0.544,11.766,0.40548417,,4.8615,,,4.796
1653563247744,44.99606230475,0.08491778897,0.0,0.0,0.99998254,2.0E-8,1.75E-5,6279.5405,4.4083,-1.7229,1780.9856,0.2924,0.2512,0.3136,0.1757,0.1379,4.6366,0.8859,0.8922,1.1257267,,,0.5236307,,4.0024,,,4.8114
1683627775360,45.01378833779,0.08773432699,0.0,0.0,0.9999874,0.0,1.26E-5,,,,,,,,,,,,,,,,,,,,,
1717987078400,44.98309734472,0.09640645833,0.0,0.0,0.9998262,0.0,1.7382E-4,3173.697,4.9626,-0.0169,313.3219,0.0844,0.0525,0.0818,0.0452,0.0365,11.0757,0.2914,,,,,,,,,,
1752346816896,45.0050413748,0.1019335602,0.0,0.0,0.99999243,0.0,7.6E-6,,,,,,,,,,,,,,,,,,,,,
1786706818304,45.02920289143,0.1038433205,0.0,1.4E-7,0.99997437,0.0,2.553E-5,,,,,,,,,,,,,,,,,,,,,
2130304202496,44.98413214856,0.12768535269,0.0,0.0,0.99999785,0.0,2.14E-6,,,,,,,,,,,,,,,,,,,,,
2199023259904,45.09557911091,0.08530645477,0.0,0.0,0.99997264,1.0E-8,2.739E-5,5140.713,4.789,-1.5232,2019.301,0.0034,0.0028,0.0036,0.002,0.0015,6.7032,0.514,0.5121,0.16453622,,,0.7317551,,4.5242,,,4.648
2199023292160,45.08136214898,0.08170847223,1.108E-5,1.33E-6,0.9999835,0.0,4.09E-6,,,,,,,,,,,,,,,,,,,,,
2267742736896,45.07903004749,0.08648916582,1.48E-6,1.0E-8,0.9999925,0.0,6.02E-6,,,,,,,,,,,,,,,,,,,,,
2336462213888,45.10466381069,0.09851674967,1.0E-8,0.0,0.99995154,1.1E-7,4.832E-5,,,,,,,,,,,,,,,,,,,,,
2405181690752,45.09616897803,0.10542177598,0.0,0.0,0.99999833,0.0,1.71E-6,,,,,,,,,,,,,,,,,,,,,
2512556873600,45.07492471994,0.11088204209,0.00457543,0.03659642,0.9587768,5.139E-5,0.0,,,,,,,,,,,,,,,,,,,,,
2546916445184,45.05702843458,0.11498172279,0.0,0.0,0.9999876,0.0,1.24E-5,4890.537,4.7829,-1.5588,1446.7634,0.0034,0.0027,0.0035,0.002,0.0015,7.059,0.491,0.491,0.12443921,,,0.69771665,,4.5392,,,4.8121
